sample_group	score_threshold_pa	fraction_at_or_above	n_callable
MHV-wt	7.2	0.029683342897386406	19169
MHV-wt	7.2250000000000005	0.02931816996191768	19169
MHV-wt	7.25	0.02900516458865877	19169
MHV-wt	7.275	0.028222651155511504	19169
MHV-wt	7.300000000000001	0.027857478220042777	19169
MHV-wt	7.325	0.027387970160154415	19169
MHV-wt	7.3500000000000005	0.02660545672700715	19169
MHV-wt	7.375	0.026188116229328602	19169
MHV-wt	7.4	0.025875110856069698	19169
MHV-wt	7.425000000000001	0.025196932547342062	19169
MHV-wt	7.45	0.024988262298502793	19169
MHV-wt	7.4750000000000005	0.024414419114194792	19169
MHV-wt	7.5	0.02399707861651625	19169
MHV-wt	7.525	0.023527570556627887	19169
MHV-wt	7.550000000000001	0.023318900307788618	19169
MHV-wt	7.575	0.022849392247900255	19169
MHV-wt	7.6000000000000005	0.02227554906359226	19169
MHV-wt	7.625	0.021858208565913716	19169
MHV-wt	7.65	0.021649538317074443	19169
MHV-wt	7.675000000000001	0.02128436538160572	19169
MHV-wt	7.7	0.020867024883927172	19169
MHV-wt	7.7250000000000005	0.020084511450779906	19169
MHV-wt	7.75	0.019771506077520998	19169
MHV-wt	7.775	0.019301998017632636	19169
MHV-wt	7.800000000000001	0.019093327768793366	19169
MHV-wt	7.825	0.018623819708905004	19169
MHV-wt	7.8500000000000005	0.01794564140017737	19169
MHV-wt	7.875	0.017580468464708645	19169
MHV-wt	7.9	0.017215295529239918	19169
MHV-wt	7.925000000000001	0.01690229015598101	19169
MHV-wt	7.95	0.01669361990714174	19169
MHV-wt	7.9750000000000005	0.01643278209609265	19169
MHV-wt	8.0	0.01591110647399447	19169
MHV-wt	8.025	0.015806771349574835	19169
MHV-wt	8.05	0.01544159841410611	19169
MHV-wt	8.075000000000001	0.015128593040847202	19169
MHV-wt	8.1	0.014815587667588294	19169
MHV-wt	8.125	0.014554749856539205	19169
MHV-wt	8.15	0.014346079607699931	19169
MHV-wt	8.175	0.01413740935886066	19169
MHV-wt	8.200000000000001	0.013772236423391935	19169
MHV-wt	8.225	0.013511398612342846	19169
MHV-wt	8.25	0.013250560801293755	19169
MHV-wt	8.275	0.013094058114664301	19169
MHV-wt	8.3	0.012833220303615212	19169
MHV-wt	8.325000000000001	0.012520214930356304	19169
MHV-wt	8.35	0.012259377119307215	19169
MHV-wt	8.375	0.01184203662162867	19169
MHV-wt	8.4	0.0116333663727894	19169
MHV-wt	8.425	0.011476863686159945	19169
MHV-wt	8.450000000000001	0.01137252856174031	19169
MHV-wt	8.475	0.011163858312901039	19169
MHV-wt	8.5	0.01111169075069122	19169
MHV-wt	8.525	0.010903020501851948	19169
MHV-wt	8.55	0.010746517815222494	19169
MHV-wt	8.575000000000001	0.01059001512859304	19169
MHV-wt	8.6	0.010485680004173405	19169
MHV-wt	8.625	0.010224842193124315	19169
MHV-wt	8.65	0.01012050706870468	19169
MHV-wt	8.675	0.009964004382075226	19169
MHV-wt	8.700000000000001	0.009807501695445772	19169
MHV-wt	8.725	0.0095988314466065	19169
MHV-wt	8.75	0.00933799363555741	19169
MHV-wt	8.775	0.009233658511137775	19169
MHV-wt	8.8	0.009181490948927956	19169
MHV-wt	8.825000000000001	0.009024988262298504	19169
MHV-wt	8.85	0.00881631801345923	19169
MHV-wt	8.875	0.008555480202410141	19169
MHV-wt	8.9	0.008451145077990505	19169
MHV-wt	8.925	0.008451145077990505	19169
MHV-wt	8.950000000000001	0.008398977515780687	19169
MHV-wt	8.975	0.008138139704731599	19169
MHV-wt	9.0	0.007877301893682508	19169
MHV-wt	9.025	0.007720799207053055	19169
MHV-wt	9.05	0.007564296520423601	19169
MHV-wt	9.075000000000001	0.007459961396003965	19169
MHV-wt	9.1	0.0073556262715843285	19169
MHV-wt	9.125	0.007199123584954875	19169
MHV-wt	9.15	0.00709478846053524	19169
MHV-wt	9.175	0.006990453336115603	19169
MHV-wt	9.200000000000001	0.006990453336115603	19169
MHV-wt	9.225	0.006938285773905786	19169
MHV-wt	9.25	0.006886118211695967	19169
MHV-wt	9.275	0.006729615525066513	19169
MHV-wt	9.3	0.00657311283843706	19169
MHV-wt	9.325000000000001	0.00631227502738797	19169
MHV-wt	9.35	0.006103604778548698	19169
MHV-wt	9.375	0.005999269654129062	19169
MHV-wt	9.4	0.005999269654129062	19169
MHV-wt	9.425	0.005999269654129062	19169
MHV-wt	9.450000000000001	0.005947102091919245	19169
MHV-wt	9.475	0.005790599405289791	19169
MHV-wt	9.5	0.005790599405289791	19169
MHV-wt	9.525	0.0055819291564505194	19169
